"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","E00004482","E00004482","Total",293,15,7,2,16,7,10,6,16,24,63,64,22,30,9,2,0,39.5,40.0
"2011","E00004497","E00004497","Total",260,26,10,6,13,2,4,1,16,19,81,50,6,15,11,0,0,35.5,36.0
"2011","E00004498","E00004498","Total",332,22,25,11,22,4,6,6,13,24,92,62,7,25,9,2,2,34.6,34.0
"2011","E00004502","E00004502","Total",254,15,10,4,16,0,6,5,22,24,53,51,17,9,14,2,6,38.3,34.0
"2011","E00004505","E00004505","Total",291,19,9,15,17,2,4,9,17,25,83,54,10,11,14,2,0,35.2,36.0
"2011","E00004481","E00004481","Total",313,20,13,12,24,2,9,6,23,16,63,75,15,17,12,6,0,37.0,39.0
"2011","E00004493","E00004493","Total",229,28,4,2,20,2,1,4,8,16,96,23,6,7,10,1,1,33.5,35.0
"2011","E00004500","E00004500","Total",169,6,0,0,2,1,0,0,7,22,57,40,13,10,9,0,2,43.5,42.0
"2011","E00004501","E00004501","Total",116,5,0,2,5,1,0,0,6,8,35,24,10,11,6,2,1,44.2,44.0
"2011","E00004503","E00004503","Total",209,5,9,4,9,3,3,3,7,18,40,52,18,17,13,5,3,44.2,45.0
"2011","E00004506","E00004506","Total",286,17,9,9,11,4,6,11,18,23,77,63,10,17,10,0,1,36.1,34.0
"2011","E00004507","E00004507","Total",259,18,16,12,14,3,2,4,5,14,63,36,22,27,18,3,2,40.5,42.0
"2011","E00004504","E00004504","Total",352,17,14,7,15,4,18,8,19,21,56,76,27,41,17,9,3,42.2,43.5
"2011","E00004508","E00004508","Total",292,15,2,1,9,5,3,6,10,25,61,60,28,40,14,12,1,46.1,47.0
"2011","E00004509","E00004509","Total",328,12,21,7,20,5,9,3,16,25,63,65,23,33,20,3,3,40.6,42.0
"2011","E00004510","E00004510","Total",303,19,8,4,9,4,4,7,20,39,71,59,22,18,16,3,0,38.5,36.0
"2011","E00004511","E00004511","Total",339,15,11,3,16,1,11,12,9,26,77,80,22,40,14,2,0,41.2,42.0
"2011","E00004486","E00004486","Total",276,10,6,4,12,8,9,6,14,21,54,66,15,33,11,6,1,42.3,44.0
"2011","E00004487","E00004487","Total",213,9,9,4,7,2,1,1,14,30,53,46,15,14,5,2,1,38.4,36.0
"2011","E00004489","E00004489","Total",284,24,4,5,18,4,4,5,18,24,61,64,18,19,13,2,1,38.3,38.0
"2011","E00004490","E00004490","Total",247,16,4,4,12,6,8,9,39,31,49,35,8,17,8,0,1,33.4,29.0
"2011","E00004491","E00004491","Total",301,18,10,7,13,2,3,4,26,29,61,54,10,33,18,8,5,41.3,40.0
"2011","E00004517","E00004517","Total",268,12,8,1,18,3,12,7,18,23,74,48,16,16,5,6,1,37.4,36.5
"2011","E00004492","E00004492","Total",325,25,6,12,19,4,5,3,7,15,63,81,23,49,13,0,0,41.6,45.0
"2011","E00004494","E00004494","Total",393,14,4,7,24,4,4,3,21,31,101,83,30,33,27,7,0,42.5,42.0
"2011","E00004495","E00004495","Total",256,5,5,2,15,2,7,1,9,13,46,59,22,35,27,4,4,48.5,50.5
"2011","E00004496","E00004496","Total",343,23,8,6,11,2,8,3,6,24,68,75,31,46,26,2,4,45.0,47.0
"2011","E00004499","E00004499","Total",393,21,25,14,29,5,13,6,20,21,65,89,29,38,9,6,3,38.3,41.0
"2011","E00004411","E00004411","Total",252,17,7,1,15,1,3,1,8,25,68,49,13,33,9,2,0,40.6,40.0
"2011","E00004412","E00004412","Total",267,13,6,6,12,3,6,1,7,33,73,56,11,20,15,2,3,40.5,40.0
"2011","E00004414","E00004414","Total",284,17,10,2,19,3,11,2,11,28,65,70,14,21,8,2,1,38.8,40.0
"2011","E00004416","E00004416","Total",258,13,10,4,18,5,2,0,10,15,68,55,11,16,20,7,4,41.3,42.0
"2011","E00004418","E00004418","Total",260,16,8,3,13,0,5,5,9,20,71,49,19,26,14,1,1,40.6,39.0
"2011","E00004423","E00004423","Total",245,21,4,5,11,2,3,2,7,22,86,35,12,17,13,4,1,38.6,37.0
"2011","E00004401","E00004401","Total",289,25,11,6,11,3,4,2,14,8,76,51,17,31,23,3,4,41.9,41.0
"2011","E00004404","E00004404","Total",266,23,9,6,17,0,2,2,4,9,69,41,14,41,19,8,2,43.3,42.0
"2011","E00004417","E00004417","Total",283,18,11,9,12,1,6,3,8,23,87,50,14,24,13,3,1,38.9,39.0
"2011","E00004421","E00004421","Total",298,31,16,3,14,0,4,3,15,20,104,55,14,8,7,2,2,34.9,37.0
