"date","geography","geography code","Rural Urban","Sex: All persons; Occupation: All categories: Occupation; measures: Value","Sex: All persons; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: All persons; Occupation: 2. Professional occupations; measures: Value","Sex: All persons; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: All persons; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: All persons; Occupation: 5. Skilled trades occupations; measures: Value","Sex: All persons; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: All persons; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: All persons; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: All persons; Occupation: 9. Elementary occupations; measures: Value","Sex: Males; Occupation: All categories: Occupation; measures: Value","Sex: Males; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Males; Occupation: 2. Professional occupations; measures: Value","Sex: Males; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Males; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Males; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Males; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Males; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Males; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Males; Occupation: 9. Elementary occupations; measures: Value","Sex: Females; Occupation: All categories: Occupation; measures: Value","Sex: Females; Occupation: 1. Managers, directors and senior officials; measures: Value","Sex: Females; Occupation: 2. Professional occupations; measures: Value","Sex: Females; Occupation: 3. Associate professional and technical occupations; measures: Value","Sex: Females; Occupation: 4. Administrative and secretarial occupations; measures: Value","Sex: Females; Occupation: 5. Skilled trades occupations; measures: Value","Sex: Females; Occupation: 6. Caring, leisure and other service occupations; measures: Value","Sex: Females; Occupation: 7. Sales and customer service occupations; measures: Value","Sex: Females; Occupation: 8. Process plant and machine operatives; measures: Value","Sex: Females; Occupation: 9. Elementary occupations; measures: Value"
"2011","E00065276","E00065276","Total",102,11,7,16,19,9,17,7,11,5,47,4,4,9,4,8,4,1,9,4,55,7,3,7,15,1,13,6,2,1
"2011","E00065287","E00065287","Total",60,3,5,5,3,11,8,7,10,8,29,3,2,2,0,9,2,1,5,5,31,0,3,3,3,2,6,6,5,3
"2011","E00174850","E00174850","Total",100,12,12,10,8,11,14,11,12,10,51,8,6,6,0,11,2,2,11,5,49,4,6,4,8,0,12,9,1,5
"2011","E00175335","E00175335","Total",95,6,9,10,12,14,11,9,5,19,44,3,5,3,1,14,1,2,5,10,51,3,4,7,11,0,10,7,0,9
"2011","E00175336","E00175336","Total",102,15,5,14,13,14,16,7,8,10,54,9,4,9,1,14,5,0,8,4,48,6,1,5,12,0,11,7,0,6
"2011","E00175337","E00175337","Total",99,13,13,9,7,14,12,12,11,8,54,10,6,5,1,13,2,2,10,5,45,3,7,4,6,1,10,10,1,3
"2011","E00175367","E00175367","Total",80,7,9,6,6,9,9,20,6,8,35,4,1,5,1,8,0,7,5,4,45,3,8,1,5,1,9,13,1,4
"2011","E00065257","E00065257","Total",136,20,18,24,14,15,12,5,11,17,70,10,5,12,4,14,3,2,11,9,66,10,13,12,10,1,9,3,0,8
"2011","E00065269","E00065269","Total",84,7,10,10,7,10,11,10,10,9,45,6,4,6,1,10,2,2,10,4,39,1,6,4,6,0,9,8,0,5
"2011","E00065271","E00065271","Total",86,27,12,7,10,9,7,8,2,4,41,17,4,5,1,9,1,1,2,1,45,10,8,2,9,0,6,7,0,3
"2011","E00065273","E00065273","Total",65,6,9,2,13,10,5,6,5,9,34,2,4,1,5,9,0,2,5,6,31,4,5,1,8,1,5,4,0,3
"2011","E00175363","E00175363","Total",146,21,15,18,14,14,12,19,15,18,77,14,6,11,2,14,2,3,15,10,69,7,9,7,12,0,10,16,0,8
"2011","E00175365","E00175365","Total",125,15,23,15,15,15,14,9,8,11,64,10,7,9,3,15,2,3,7,8,61,5,16,6,12,0,12,6,1,3
"2011","E00175369","E00175369","Total",64,13,7,4,5,12,7,6,4,6,33,8,2,2,1,12,1,2,3,2,31,5,5,2,4,0,6,4,1,4
"2011","E00065259","E00065259","Total",176,26,13,12,26,20,22,18,17,22,89,16,8,10,7,18,3,2,16,9,87,10,5,2,19,2,19,16,1,13
"2011","E00065275","E00065275","Total",69,10,8,9,5,5,6,9,11,6,35,7,2,4,0,5,3,5,8,1,34,3,6,5,5,0,3,4,3,5
"2011","E00065278","E00065278","Total",72,11,7,7,7,16,4,11,6,3,33,4,2,4,0,15,0,2,5,1,39,7,5,3,7,1,4,9,1,2
"2011","E00065282","E00065282","Total",184,19,18,26,15,26,15,26,16,23,94,7,4,14,4,25,4,10,14,12,90,12,14,12,11,1,11,16,2,11
"2011","E00065285","E00065285","Total",79,10,1,7,17,7,12,6,12,7,41,8,1,4,4,7,4,2,8,3,38,2,0,3,13,0,8,4,4,4
"2011","E00065290","E00065290","Total",76,8,5,11,4,11,8,8,4,17,39,7,0,7,0,10,0,1,4,10,37,1,5,4,4,1,8,7,0,7
"2011","E00065280","E00065280","Total",110,8,9,12,9,15,18,10,13,16,54,5,3,6,3,15,2,4,11,5,56,3,6,6,6,0,16,6,2,11
"2011","E00065283","E00065283","Total",55,7,3,8,3,5,7,5,11,6,28,3,2,4,0,4,1,1,10,3,27,4,1,4,3,1,6,4,1,3
"2011","E00065284","E00065284","Total",86,12,5,12,16,13,9,3,8,8,47,7,3,10,2,11,3,1,7,3,39,5,2,2,14,2,6,2,1,5
"2011","E00065286","E00065286","Total",85,9,4,8,8,22,9,9,5,11,44,5,2,3,1,20,1,3,5,4,41,4,2,5,7,2,8,6,0,7
"2011","E00065289","E00065289","Total",76,7,2,10,8,15,8,3,8,15,42,4,1,7,3,13,0,1,4,9,34,3,1,3,5,2,8,2,4,6
"2011","E00065292","E00065292","Total",44,4,6,4,6,4,7,2,5,6,22,2,2,2,1,4,2,0,5,4,22,2,4,2,5,0,5,2,0,2
"2011","E00065228","E00065228","Total",177,18,10,16,20,30,23,21,15,24,86,12,2,11,2,25,6,2,15,11,91,6,8,5,18,5,17,19,0,13
"2011","E00065231","E00065231","Total",128,11,3,4,20,24,9,21,16,20,63,5,0,0,3,22,3,5,13,12,65,6,3,4,17,2,6,16,3,8
"2011","E00065233","E00065233","Total",129,5,3,8,9,26,19,24,13,22,69,2,1,7,2,24,1,11,12,9,60,3,2,1,7,2,18,13,1,13
"2011","E00065244","E00065244","Total",139,11,5,7,14,27,18,15,18,24,64,7,1,3,0,25,2,5,13,8,75,4,4,4,14,2,16,10,5,16
"2011","E00175340","E00175340","Total",164,17,13,14,11,21,21,20,17,30,93,10,7,9,2,19,5,8,13,20,71,7,6,5,9,2,16,12,4,10
"2011","E00175341","E00175341","Total",194,20,16,13,22,26,30,26,11,30,97,12,4,11,2,24,5,13,11,15,97,8,12,2,20,2,25,13,0,15
"2011","E00065217","E00065217","Total",116,16,12,5,16,17,10,13,13,14,56,8,5,1,3,17,2,1,11,8,60,8,7,4,13,0,8,12,2,6
"2011","E00065220","E00065220","Total",133,10,16,9,11,21,11,17,14,24,67,6,9,6,1,18,3,4,10,10,66,4,7,3,10,3,8,13,4,14
"2011","E00065227","E00065227","Total",142,12,12,8,10,30,20,15,12,23,72,9,7,6,0,25,1,4,11,9,70,3,5,2,10,5,19,11,1,14
"2011","E00065240","E00065240","Total",132,8,12,11,12,20,17,17,15,20,62,2,6,4,3,19,2,4,14,8,70,6,6,7,9,1,15,13,1,12
"2011","E00065243","E00065243","Total",85,8,11,12,6,13,11,7,6,11,39,3,5,6,0,11,2,2,5,5,46,5,6,6,6,2,9,5,1,6
"2011","E00065262","E00065262","Total",148,15,15,13,19,23,20,13,12,18,73,10,5,7,4,21,4,2,11,9,75,5,10,6,15,2,16,11,1,9
"2011","E00065266","E00065266","Total",71,16,7,3,10,7,7,4,9,8,41,9,4,2,1,7,2,2,8,6,30,7,3,1,9,0,5,2,1,2
"2011","E00065281","E00065281","Total",64,12,14,11,3,7,2,4,6,5,33,5,4,7,1,7,0,3,5,1,31,7,10,4,2,0,2,1,1,4
"2011","E00065293","E00065293","Total",59,11,7,8,5,9,9,6,1,3,33,9,2,7,0,7,2,4,0,2,26,2,5,1,5,2,7,2,1,1
"2011","E00065294","E00065294","Total",124,10,14,15,16,23,13,13,7,13,68,7,7,9,4,20,3,0,6,12,56,3,7,6,12,3,10,13,1,1
"2011","E00065249","E00065249","Total",80,7,11,7,10,16,7,11,5,6,43,3,4,4,3,15,0,4,5,5,37,4,7,3,7,1,7,7,0,1
"2011","E00065250","E00065250","Total",103,7,6,6,15,19,12,13,12,13,54,5,3,5,2,15,3,2,10,9,49,2,3,1,13,4,9,11,2,4
"2011","E00065251","E00065251","Total",100,15,5,5,1,24,14,8,11,17,53,6,1,2,0,19,2,5,10,8,47,9,4,3,1,5,12,3,1,9
"2011","E00065252","E00065252","Total",64,9,3,4,8,18,6,6,5,5,32,6,1,1,1,16,0,2,4,1,32,3,2,3,7,2,6,4,1,4
"2011","E00065253","E00065253","Total",75,11,15,6,11,14,5,8,2,3,39,7,6,5,0,12,1,5,2,1,36,4,9,1,11,2,4,3,0,2
"2011","E00065254","E00065254","Total",108,12,16,11,13,24,10,6,6,10,57,6,9,8,2,20,2,1,5,4,51,6,7,3,11,4,8,5,1,6
"2011","E00065255","E00065255","Total",156,24,16,13,11,32,17,15,12,16,83,12,9,7,1,28,6,5,7,8,73,12,7,6,10,4,11,10,5,8
"2011","E00065256","E00065256","Total",98,7,10,3,9,27,9,10,8,15,53,5,5,2,1,24,1,4,7,4,45,2,5,1,8,3,8,6,1,11
"2011","E00065260","E00065260","Total",102,10,9,8,8,18,11,13,6,19,52,5,5,6,0,16,1,5,5,9,50,5,4,2,8,2,10,8,1,10
"2011","E00065272","E00065272","Total",64,17,9,6,7,12,3,5,2,3,36,9,3,5,2,9,2,3,1,2,28,8,6,1,5,3,1,2,1,1
"2011","E00065277","E00065277","Total",77,11,10,4,12,10,6,10,5,9,32,7,3,1,3,9,1,2,3,3,45,4,7,3,9,1,5,8,2,6
"2011","E00065279","E00065279","Total",47,8,5,4,7,11,5,0,4,3,25,6,1,3,0,9,0,0,4,2,22,2,4,1,7,2,5,0,0,1
"2011","E00065288","E00065288","Total",53,7,5,1,6,11,3,11,4,5,26,4,1,1,1,9,1,3,3,3,27,3,4,0,5,2,2,8,1,2
"2011","E00065291","E00065291","Total",34,1,1,4,3,7,5,8,3,2,21,1,0,4,0,7,1,4,3,1,13,0,1,0,3,0,4,4,0,1
"2011","E00065219","E00065219","Total",128,13,8,10,7,22,23,18,11,16,63,9,0,5,0,19,6,7,10,7,65,4,8,5,7,3,17,11,1,9
"2011","E00065230","E00065230","Total",88,5,1,3,5,12,15,9,16,22,45,4,1,1,0,10,2,2,12,13,43,1,0,2,5,2,13,7,4,9
"2011","E00065237","E00065237","Total",112,10,3,6,10,11,22,9,18,23,55,6,2,3,0,10,3,2,16,13,57,4,1,3,10,1,19,7,2,10
"2011","E00065238","E00065238","Total",106,7,6,5,4,26,12,13,16,17,59,6,1,4,1,20,2,1,15,9,47,1,5,1,3,6,10,12,1,8
"2011","E00065247","E00065247","Total",61,6,4,4,1,10,13,9,5,9,28,1,2,1,0,9,2,2,5,6,33,5,2,3,1,1,11,7,0,3
"2011","E00065248","E00065248","Total",61,5,3,2,5,9,9,9,5,14,29,2,2,2,1,9,0,5,2,6,32,3,1,0,4,0,9,4,3,8
"2011","E00065221","E00065221","Total",106,4,6,6,5,13,15,14,14,29,52,3,3,3,1,13,0,7,12,10,54,1,3,3,4,0,15,7,2,19
"2011","E00065222","E00065222","Total",28,1,1,2,3,7,3,3,4,4,18,0,0,1,1,7,1,2,3,3,10,1,1,1,2,0,2,1,1,1
"2011","E00065226","E00065226","Total",75,4,4,4,6,13,12,11,10,11,39,3,1,3,1,12,1,4,10,4,36,1,3,1,5,1,11,7,0,7
"2011","E00065241","E00065241","Total",97,7,3,3,5,15,20,16,9,19,49,5,0,3,2,15,5,5,7,7,48,2,3,0,3,0,15,11,2,12
"2011","E00065245","E00065245","Total",56,7,4,2,5,6,9,9,5,9,20,2,0,0,0,5,2,3,5,3,36,5,4,2,5,1,7,6,0,6
"2011","E00065246","E00065246","Total",113,13,12,10,8,16,19,8,8,19,59,7,7,6,2,14,5,0,7,11,54,6,5,4,6,2,14,8,1,8
"2011","E00065224","E00065224","Total",109,16,10,10,6,12,18,11,11,15,55,8,4,7,0,10,2,6,11,7,54,8,6,3,6,2,16,5,0,8
"2011","E00065225","E00065225","Total",73,12,3,3,6,15,3,5,11,15,41,7,0,2,0,14,0,1,10,7,32,5,3,1,6,1,3,4,1,8
"2011","E00065229","E00065229","Total",106,4,5,4,6,22,18,14,13,20,58,3,2,3,2,20,3,2,13,10,48,1,3,1,4,2,15,12,0,10
"2011","E00065232","E00065232","Total",77,2,5,4,0,15,13,18,8,12,37,0,3,2,0,12,2,5,6,7,40,2,2,2,0,3,11,13,2,5
"2011","E00065234","E00065234","Total",200,15,9,20,15,32,32,29,17,31,101,11,3,12,3,28,5,10,16,13,99,4,6,8,12,4,27,19,1,18
"2011","E00065295","E00065295","Total",67,6,2,4,4,6,7,9,7,22,36,3,1,3,2,4,0,3,6,14,31,3,1,1,2,2,7,6,1,8
"2011","E00065306","E00065306","Total",91,5,1,1,4,20,17,13,10,20,49,2,0,1,1,18,4,4,7,12,42,3,1,0,3,2,13,9,3,8
"2011","E00065310","E00065310","Total",79,1,3,4,6,14,9,13,12,17,45,1,1,3,0,14,0,5,10,11,34,0,2,1,6,0,9,8,2,6
"2011","E00065313","E00065313","Total",76,6,6,3,3,13,15,9,5,16,42,4,2,2,1,12,5,3,5,8,34,2,4,1,2,1,10,6,0,8
"2011","E00065323","E00065323","Total",88,10,9,3,8,15,8,13,9,13,46,7,4,1,2,12,2,4,8,6,42,3,5,2,6,3,6,9,1,7
"2011","E00065341","E00065341","Total",89,8,6,7,9,12,13,11,9,14,49,5,4,6,3,11,2,4,7,7,40,3,2,1,6,1,11,7,2,7
"2011","E00065301","E00065301","Total",72,4,4,4,0,17,14,11,6,12,42,3,2,3,0,16,2,3,6,7,30,1,2,1,0,1,12,8,0,5
"2011","E00065328","E00065328","Total",143,8,9,10,7,31,18,15,18,27,77,4,3,6,3,24,1,7,14,15,66,4,6,4,4,7,17,8,4,12
"2011","E00065343","E00065343","Total",94,7,3,4,7,14,16,6,14,23,53,3,0,4,2,13,3,3,12,13,41,4,3,0,5,1,13,3,2,10
"2011","E00065344","E00065344","Total",125,13,12,8,13,19,14,12,13,21,69,8,4,4,2,16,5,4,12,14,56,5,8,4,11,3,9,8,1,7
"2011","E00065345","E00065345","Total",40,5,2,0,3,5,6,8,5,6,21,3,1,0,1,5,0,3,5,3,19,2,1,0,2,0,6,5,0,3
"2011","E00065263","E00065263","Total",132,16,22,17,10,17,17,9,7,17,72,11,11,13,4,15,2,1,7,8,60,5,11,4,6,2,15,8,0,9
"2011","E00065264","E00065264","Total",78,14,10,7,11,9,5,7,5,10,46,10,5,6,0,8,0,4,5,8,32,4,5,1,11,1,5,3,0,2
"2011","E00065265","E00065265","Total",92,10,16,10,9,13,9,5,7,13,49,10,8,5,0,11,0,1,6,8,43,0,8,5,9,2,9,4,1,5
"2011","E00065267","E00065267","Total",104,16,21,10,7,10,12,11,10,7,55,11,10,8,0,9,1,2,9,5,49,5,11,2,7,1,11,9,1,2
"2011","E00065268","E00065268","Total",64,8,9,5,4,8,14,3,5,8,30,6,4,5,1,7,2,0,4,1,34,2,5,0,3,1,12,3,1,7
"2011","E00065298","E00065298","Total",135,13,12,13,8,21,18,15,19,16,65,8,3,8,1,18,2,3,16,6,70,5,9,5,7,3,16,12,3,10
"2011","E00065331","E00065331","Total",151,11,5,12,15,31,30,12,8,27,75,6,3,9,2,28,3,4,6,14,76,5,2,3,13,3,27,8,2,13
"2011","E00065334","E00065334","Total",156,13,14,6,12,21,21,19,18,32,74,7,3,2,3,20,3,7,14,15,82,6,11,4,9,1,18,12,4,17
"2011","E00065336","E00065336","Total",140,12,11,16,16,24,18,15,8,20,76,10,5,9,6,23,4,4,6,9,64,2,6,7,10,1,14,11,2,11
"2011","E00065339","E00065339","Total",118,14,11,5,9,28,15,16,7,13,58,6,5,5,0,26,2,6,6,2,60,8,6,0,9,2,13,10,1,11
"2011","E00065297","E00065297","Total",115,11,6,8,7,18,19,15,16,15,62,5,3,4,1,15,5,6,15,8,53,6,3,4,6,3,14,9,1,7
"2011","E00065305","E00065305","Total",110,12,8,6,3,25,17,12,6,21,56,8,5,3,2,21,1,2,6,8,54,4,3,3,1,4,16,10,0,13
"2011","E00065327","E00065327","Total",118,8,10,10,12,20,11,17,12,18,58,5,2,6,1,19,1,5,10,9,60,3,8,4,11,1,10,12,2,9
"2011","E00065330","E00065330","Total",127,8,9,6,12,24,15,22,12,19,64,0,5,3,2,24,4,8,8,10,63,8,4,3,10,0,11,14,4,9
"2011","E00065332","E00065332","Total",142,24,8,11,10,18,13,13,17,28,75,14,5,5,3,15,2,2,11,18,67,10,3,6,7,3,11,11,6,10
"2011","E00065296","E00065296","Total",122,17,9,12,6,28,12,16,7,15,71,9,4,8,2,25,4,7,6,6,51,8,5,4,4,3,8,9,1,9
"2011","E00065325","E00065325","Total",140,17,13,14,18,17,14,14,9,24,69,9,8,9,2,13,0,5,9,14,71,8,5,5,16,4,14,9,0,10
"2011","E00065326","E00065326","Total",122,15,11,10,10,16,14,13,10,23,66,8,6,9,1,14,0,4,10,14,56,7,5,1,9,2,14,9,0,9
"2011","E00065329","E00065329","Total",113,34,9,7,4,13,17,4,6,19,57,18,4,4,1,11,5,1,5,8,56,16,5,3,3,2,12,3,1,11
"2011","E00065333","E00065333","Total",108,25,7,3,5,19,19,7,9,14,52,15,2,2,0,15,3,2,8,5,56,10,5,1,5,4,16,5,1,9
"2011","E00065335","E00065335","Total",105,10,4,9,4,13,18,14,15,18,55,6,1,5,0,12,6,3,12,10,50,4,3,4,4,1,12,11,3,8
"2011","E00065337","E00065337","Total",106,12,5,6,11,11,12,10,15,24,55,6,2,2,3,10,3,5,12,12,51,6,3,4,8,1,9,5,3,12
"2011","E00065338","E00065338","Total",95,15,9,5,4,12,11,8,13,18,52,9,2,3,2,10,1,5,12,8,43,6,7,2,2,2,10,3,1,10
"2011","E00065340","E00065340","Total",97,13,5,5,3,12,12,17,5,25,55,6,2,3,1,10,5,11,4,13,42,7,3,2,2,2,7,6,1,12
"2011","E00065342","E00065342","Total",93,9,8,4,1,11,13,11,14,22,53,6,4,2,0,10,3,5,9,14,40,3,4,2,1,1,10,6,5,8
"2011","E00065299","E00065299","Total",123,14,14,14,9,16,11,7,13,25,69,8,5,9,3,15,3,2,12,12,54,6,9,5,6,1,8,5,1,13
"2011","E00065307","E00065307","Total",141,24,21,11,11,27,11,17,9,10,77,14,7,7,2,25,2,5,8,7,64,10,14,4,9,2,9,12,1,3
"2011","E00065308","E00065308","Total",121,12,12,12,10,17,14,21,8,15,65,5,6,8,3,16,4,6,8,9,56,7,6,4,7,1,10,15,0,6
"2011","E00065311","E00065311","Total",131,13,21,5,16,18,10,18,11,19,65,9,9,1,3,18,1,4,10,10,66,4,12,4,13,0,9,14,1,9
"2011","E00065316","E00065316","Total",81,12,7,7,5,13,8,9,5,15,48,5,3,5,1,11,4,4,5,10,33,7,4,2,4,2,4,5,0,5
"2011","E00065300","E00065300","Total",103,35,1,10,4,17,9,7,3,17,58,19,1,7,2,13,0,2,2,12,45,16,0,3,2,4,9,5,1,5
"2011","E00065302","E00065302","Total",114,11,7,8,4,16,20,10,13,25,59,8,3,7,0,14,2,2,12,11,55,3,4,1,4,2,18,8,1,14
"2011","E00065303","E00065303","Total",111,15,4,6,3,14,12,13,13,31,67,11,3,6,1,9,4,4,11,18,44,4,1,0,2,5,8,9,2,13
"2011","E00065304","E00065304","Total",110,25,8,7,6,18,12,11,8,15,53,12,1,5,1,15,1,2,7,9,57,13,7,2,5,3,11,9,1,6
"2011","E00065315","E00065315","Total",80,20,2,3,0,13,9,10,7,16,46,11,0,2,0,13,1,2,7,10,34,9,2,1,0,0,8,8,0,6
"2011","E00065312","E00065312","Total",99,11,8,9,6,14,11,9,8,23,57,6,5,4,2,13,2,5,8,12,42,5,3,5,4,1,9,4,0,11
"2011","E00065314","E00065314","Total",107,8,11,10,3,14,16,12,9,24,62,4,5,9,2,13,4,4,7,14,45,4,6,1,1,1,12,8,2,10
"2011","E00065318","E00065318","Total",89,17,10,7,4,15,10,3,8,15,48,8,4,4,0,15,1,1,7,8,41,9,6,3,4,0,9,2,1,7
"2011","E00065321","E00065321","Total",74,21,8,7,6,6,3,4,12,7,44,12,2,5,3,5,0,2,11,4,30,9,6,2,3,1,3,2,1,3
"2011","E00065322","E00065322","Total",97,25,15,4,9,8,8,5,5,18,50,12,7,3,1,6,3,1,5,12,47,13,8,1,8,2,5,4,0,6
"2011","E00065309","E00065309","Total",124,29,18,16,13,14,17,8,4,5,66,17,11,11,1,12,2,5,2,5,58,12,7,5,12,2,15,3,2,0
"2011","E00065317","E00065317","Total",160,12,20,16,21,28,25,9,12,17,87,7,9,13,5,28,1,2,10,12,73,5,11,3,16,0,24,7,2,5
"2011","E00065319","E00065319","Total",99,7,10,13,11,9,12,8,10,19,48,3,4,7,2,7,3,2,9,11,51,4,6,6,9,2,9,6,1,8
"2011","E00065320","E00065320","Total",85,15,14,6,10,14,4,8,5,9,50,11,9,4,0,12,0,3,5,6,35,4,5,2,10,2,4,5,0,3
"2011","E00065324","E00065324","Total",103,17,13,11,10,14,7,11,8,12,58,11,8,6,1,14,1,3,8,6,45,6,5,5,9,0,6,8,0,6
"2011","E00065511","E00065511","Total",213,24,24,20,23,51,17,12,18,24,113,13,11,13,3,45,2,2,12,12,100,11,13,7,20,6,15,10,6,12
"2011","E00065538","E00065538","Total",207,47,26,16,18,33,25,9,11,22,108,28,10,9,3,29,3,3,11,12,99,19,16,7,15,4,22,6,0,10
"2011","E00065542","E00065542","Total",117,11,10,11,8,29,10,4,8,26,62,6,3,2,0,24,4,1,7,15,55,5,7,9,8,5,6,3,1,11
"2011","E00065545","E00065545","Total",172,14,24,25,12,34,24,9,9,21,93,6,11,14,0,31,4,7,9,11,79,8,13,11,12,3,20,2,0,10
"2011","E00065523","E00065523","Total",174,25,35,17,13,35,15,13,10,11,86,12,14,10,2,32,1,3,7,5,88,13,21,7,11,3,14,10,3,6
"2011","E00065524","E00065524","Total",179,31,42,20,23,21,11,13,7,11,93,19,23,10,2,20,3,5,6,5,86,12,19,10,21,1,8,8,1,6
"2011","E00065525","E00065525","Total",105,14,18,9,10,16,9,6,11,12,54,7,10,4,2,15,0,2,8,6,51,7,8,5,8,1,9,4,3,6
"2011","E00065526","E00065526","Total",62,9,4,6,7,15,8,2,3,8,33,5,1,3,1,13,1,1,3,5,29,4,3,3,6,2,7,1,0,3
"2011","E00065527","E00065527","Total",244,31,33,28,22,52,22,16,13,27,127,13,18,18,4,44,4,2,13,11,117,18,15,10,18,8,18,14,0,16
"2011","E00065500","E00065500","Total",107,14,13,8,8,27,8,7,10,12,61,8,5,5,0,24,1,1,10,7,46,6,8,3,8,3,7,6,0,5
"2011","E00065509","E00065509","Total",103,12,7,2,6,24,10,11,13,18,52,6,2,1,1,20,3,2,12,5,51,6,5,1,5,4,7,9,1,13
"2011","E00065510","E00065510","Total",122,16,7,7,10,30,11,11,9,21,69,10,3,3,1,26,1,4,7,14,53,6,4,4,9,4,10,7,2,7
"2011","E00065512","E00065512","Total",206,33,29,10,20,40,22,13,11,28,109,23,12,7,0,34,5,4,10,14,97,10,17,3,20,6,17,9,1,14
"2011","E00065514","E00065514","Total",154,18,22,4,8,41,18,10,10,23,88,13,12,1,1,34,1,1,9,16,66,5,10,3,7,7,17,9,1,7
"2011","E00065455","E00065455","Total",118,13,25,10,11,17,12,11,2,17,61,8,11,8,1,15,1,4,1,12,57,5,14,2,10,2,11,7,1,5
